T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
729,Sudan,2016,Basic access to computers by level of education: Upper secondary,100
740,Suriname,2015,Public expenditure on education (% of GDP),5.9
740,Suriname,2019,Public expenditure on education (% of GDP),7.2
752,Sweden,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
752,Sweden,2005,All staff compensation as % of total expenditure in public institutions (%),65
752,Sweden,2005,Capital expenditure as % of total expenditure in public institutions (%),6.6
752,Sweden,2005,Public expenditure on education (% of GDP),6.5
752,Sweden,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.3
752,Sweden,2010,All staff compensation as % of total expenditure in public institutions (%),63.1
752,Sweden,2010,Capital expenditure as % of total expenditure in public institutions (%),5.6
752,Sweden,2010,Public expenditure on education (% of GDP),6.5
752,Sweden,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.6
752,Sweden,2015,All staff compensation as % of total expenditure in public institutions (%),65.3
752,Sweden,2015,Capital expenditure as % of total expenditure in public institutions (%),5.1
752,Sweden,2015,Public expenditure on education (% of GDP),7.4
752,Sweden,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36
752,Sweden,2018,All staff compensation as % of total expenditure in public institutions (%),58.8
752,Sweden,2018,Capital expenditure as % of total expenditure in public institutions (%),5.2
752,Sweden,2018,Public expenditure on education (% of GDP),7.6
756,Switzerland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
756,Switzerland,2005,All staff compensation as % of total expenditure in public institutions (%),75.3
756,Switzerland,2005,Capital expenditure as % of total expenditure in public institutions (%),9.1
756,Switzerland,2005,Public expenditure on education (% of GDP),5.1
756,Switzerland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
756,Switzerland,2010,All staff compensation as % of total expenditure in public institutions (%),75.2
756,Switzerland,2010,Capital expenditure as % of total expenditure in public institutions (%),8.6
756,Switzerland,2010,Public expenditure on education (% of GDP),4.8
756,Switzerland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.4
756,Switzerland,2015,All staff compensation as % of total expenditure in public institutions (%),74.3
756,Switzerland,2015,Capital expenditure as % of total expenditure in public institutions (%),10.2
756,Switzerland,2015,Basic access to computers by level of education: Primary,100
756,Switzerland,2015,Basic access to computers by level of education: Lower secondary,100
756,Switzerland,2015,Basic access to computers by level of education: Upper secondary,100
756,Switzerland,2015,Public expenditure on education (% of GDP),4.9
756,Switzerland,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.3
756,Switzerland,2016,All staff compensation as % of total expenditure in public institutions (%),74.1
756,Switzerland,2016,Capital expenditure as % of total expenditure in public institutions (%),10.6
756,Switzerland,2016,Basic access to computers by level of education: Primary,100
756,Switzerland,2016,Basic access to computers by level of education: Lower secondary,100
756,Switzerland,2016,Basic access to computers by level of education: Upper secondary,100
756,Switzerland,2016,Public expenditure on education (% of GDP),4.9
756,Switzerland,2018,Public expenditure on education (% of GDP),4.9
760,Syrian Arab Republic,2004,Public expenditure on education (% of GDP),5.4
760,Syrian Arab Republic,2009,Public expenditure on education (% of GDP),5.1
762,Tajikistan,2005,Public expenditure on education (% of GDP),3.5
762,Tajikistan,2010,Public expenditure on education (% of GDP),4
762,Tajikistan,2015,Capital expenditure as % of total expenditure in public institutions (%),14
762,Tajikistan,2015,Public expenditure on education (% of GDP),5
762,Tajikistan,2019,Public expenditure on education (% of GDP),5.7
764,Thailand,2005,Public expenditure on education (% of GDP),3.9
764,Thailand,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.8
764,Thailand,2010,All staff compensation as % of total expenditure in public institutions (%),50.9
764,Thailand,2010,Capital expenditure as % of total expenditure in public institutions (%),3.3
764,Thailand,2010,Public expenditure on education (% of GDP),3.5
764,Thailand,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),54.5
764,Thailand,2011,All staff compensation as % of total expenditure in public institutions (%),39.5
764,Thailand,2011,Capital expenditure as % of total expenditure in public institutions (%),6
764,Thailand,2011,Basic access to computers by level of education: Primary,98.8
764,Thailand,2011,Basic access to computers by level of education: Lower secondary,100
764,Thailand,2011,Basic access to computers by level of education: Upper secondary,89
764,Thailand,2011,Public expenditure on education (% of GDP),4.8
764,Thailand,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
764,Thailand,2014,All staff compensation as % of total expenditure in public institutions (%),62.5
764,Thailand,2014,Capital expenditure as % of total expenditure in public institutions (%),5.7
764,Thailand,2014,Public expenditure on education (% of GDP),3.7
764,Thailand,2015,Public expenditure on education (% of GDP),3.8
764,Thailand,2019,Basic access to computers by level of education: Primary,99.8
764,Thailand,2019,Basic access to computers by level of education: Lower secondary,100
764,Thailand,2019,Basic access to computers by level of education: Upper secondary,100
764,Thailand,2019,Public expenditure on education (% of GDP),3
764,Thailand,2020,Basic access to computers by level of education: Primary,99.8
764,Thailand,2020,Basic access to computers by level of education: Lower secondary,100
764,Thailand,2020,Basic access to computers by level of education: Upper secondary,100
626,Timor-Leste,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),52.5
626,Timor-Leste,2010,All staff compensation as % of total expenditure in public institutions (%),37.8
626,Timor-Leste,2010,Capital expenditure as % of total expenditure in public institutions (%),9.7
626,Timor-Leste,2010,Public expenditure on education (% of GDP),11.1
626,Timor-Leste,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),46.4
626,Timor-Leste,2014,All staff compensation as % of total expenditure in public institutions (%),49.5
626,Timor-Leste,2014,Capital expenditure as % of total expenditure in public institutions (%),4
626,Timor-Leste,2014,Public expenditure on education (% of GDP),7.5
626,Timor-Leste,2015,Public expenditure on education (% of GDP),8.4
626,Timor-Leste,2018,Public expenditure on education (% of GDP),6.8
768,Togo,2005,Public expenditure on education (% of GDP),3.2
768,Togo,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.7
768,Togo,2010,All staff compensation as % of total expenditure in public institutions (%),74.7
768,Togo,2010,Capital expenditure as % of total expenditure in public institutions (%),10.6
768,Togo,2010,Public expenditure on education (% of GDP),4.1
768,Togo,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7
768,Togo,2015,All staff compensation as % of total expenditure in public institutions (%),90.5
768,Togo,2015,Capital expenditure as % of total expenditure in public institutions (%),2.5
